  Note    Freq Hz     Dur ms
------------------------------
    C2      130.8       33.8
   D#3      311.2       29.6
   ---        0.0       38.0
    C2      130.8       33.8
   D#3      311.2       29.6
   ---        0.0       38.0
    C2      130.8       33.8
   D#3      311.2       29.6
   ---        0.0     2167.3
   A#1      116.5       33.8
    D3      293.7       29.6
   ---        0.0       38.0
   A#1      116.5       33.8
    D3      293.7       29.6
   ---        0.0       38.0
   A#1      116.5       33.8
    D3      293.7       29.6
   ---        0.0      950.6
   A#1      116.5       33.8
    F3      349.3       29.6
   ---        0.0       38.0
   A#1      116.5       33.8
    F3      349.3       29.6
   ---        0.0       38.0
    A1      110.0       33.8
    F3      349.3       29.6
   ---        0.0      342.2
    A1      110.0       33.8
    F3      349.3       29.6
   ---        0.0       38.0
    A1      110.0       33.8
    F3      349.3       29.6
   ---        0.0       38.0
    G1       98.0       33.8
    D3      293.7       29.6
   ---        0.0      342.2
    G1       98.0       33.8
    G3      392.1       29.6
   ---        0.0       38.0
    G1       98.0       33.8
    G3      392.1       29.6
   ---        0.0       38.0
    G1       98.0       33.8
    D3      293.7       29.6
   ---        0.0     1559.0
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0       38.0
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0       38.0
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0      950.6
   C#2      138.6       33.8
    F3      349.3       29.6
   ---        0.0       38.0
   C#2      138.6       33.8
    F3      349.3       29.6
   ---        0.0       38.0
   C#2      138.6       33.8
    F3      349.3       29.6
   ---        0.0      342.2
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0       38.0
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0       38.0
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0      342.2
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0       38.0
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0       38.0
   G#1      103.8       33.8
    C3      261.7       29.6
   ---        0.0      950.6
   C#2      138.6       33.8
    F3      349.3       29.6
   ---        0.0       38.0
   C#2      138.6       33.8
    F3      349.3       29.6
   ---        0.0       38.0
   G#2      207.7       33.8
   D#3      311.2       29.6
   ---        0.0      342.2
   G#2      207.7       33.8
   D#3      311.2       29.6
   ---        0.0       38.0
   G#2      207.7       33.8
   D#3      311.2       29.6
   ---        0.0       38.0
   C#2      138.6       33.8
    F3      349.3       29.6
   ---        0.0      342.2
   C#2      138.6       33.8
    F3      349.3       29.6
   ---        0.0       38.0
   C#2      138.6       33.8
    F3      349.3       29.6
   ---        0.0       38.0
   G#2      207.7       33.8
   D#3      311.2       29.6
   ---        0.0      950.6
    G1       98.0       33.8
    G3      392.1       29.6
   ---        0.0       38.0
    G1       98.0       33.8
    G3      392.1       29.6
   ---        0.0       38.0
    G1       98.0       33.8
    G3      392.1       29.6
   ---        0.0     1559.0
    G1       98.0       33.8
    G3      392.1       29.6
   ---        0.0       38.0
    G1       98.0       33.8
    G3      392.1       29.6
   ---        0.0       38.0
    G1       98.0       33.8
    G3      392.1       29.6
   ---        0.0      747.8
    C2      130.8       33.8
   D#3      311.2       29.6
   ---        0.0       38.0
    C3      261.7       33.8
   D#3      311.2       29.6
   ---        0.0       38.0
    C2      130.8       33.8
   D#3      311.2       29.6
   ---        0.0      342.2
    C2      130.8       33.8
   D#3      311.2       29.6
   ---        0.0       38.0
    C3      261.7       33.8
   D#3      311.2       29.6
   ---        0.0       38.0
    C2      130.8       33.8
   D#3      311.2       29.6
   ---        0.0      342.2
    F2      174.6       33.8
    C3      261.7       29.6
   ---        0.0       38.0
    F2      174.6       33.8
    C3      261.7       29.6
   ---        0.0       38.0
