  Note    Freq Hz     Dur ms
------------------------------
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0     2163.1
    D3      293.7       67.6
   ---        0.0       33.8
    D3      293.7       67.6
   ---        0.0       33.8
    D3      293.7       67.6
   ---        0.0      946.4
    F3      349.3       67.6
   ---        0.0       33.8
    F3      349.3       67.6
   ---        0.0       33.8
    F3      349.3       67.6
   ---        0.0      338.0
    F3      349.3       67.6
   ---        0.0       33.8
    F3      349.3       67.6
   ---        0.0       33.8
    D3      293.7       67.6
   ---        0.0      338.0
    G3      392.1       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    D3      293.7       67.6
   ---        0.0     1554.7
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0      946.4
    F3      349.3       67.6
   ---        0.0       33.8
    F3      349.3       67.6
   ---        0.0       33.8
    F3      349.3       67.6
   ---        0.0      338.0
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0      338.0
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0      946.4
    F3      349.3       67.6
   ---        0.0       33.8
    F3      349.3       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0      338.0
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0       33.8
    F3      349.3       67.6
   ---        0.0      338.0
    F3      349.3       67.6
   ---        0.0       33.8
    F3      349.3       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0      946.4
    G3      392.1       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0     1554.7
    G3      392.1       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0      743.6
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0      338.0
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0      338.0
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0      338.0
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0      338.0
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0      338.0
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0       33.8
    C3      261.7       67.6
   ---        0.0     2568.7
    C4      523.3       67.6
   ---        0.0     1149.2
    B3      494.1       67.6
   ---        0.0     1149.2
    C4      523.3       67.6
   ---        0.0      236.6
    C4      523.3       67.6
   ---        0.0       33.8
    C4      523.3       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      236.6
    C4      523.3       67.6
   ---        0.0       33.8
    C4      523.3       67.6
   ---        0.0      135.2
    B3      494.1       67.6
   ---        0.0      236.6
    B3      494.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0      135.2
    B3      494.1       67.6
   ---        0.0      236.6
    B3      494.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      236.6
    C4      523.3       67.6
   ---        0.0       33.8
    C4      523.3       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      236.6
    C4      523.3       67.6
   ---        0.0       33.8
    C4      523.3       67.6
   ---        0.0      135.2
    B3      494.1       67.6
   ---        0.0      236.6
    B3      494.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0      135.2
    B3      494.1       67.6
   ---        0.0      236.6
    B3      494.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0      135.2
   D#3      311.2       67.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#3      311.2       67.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#3      311.2       67.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#3      311.2       67.6
   ---        0.0      135.2
    G3      392.1       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
    D3      293.7       67.6
   ---        0.0      135.2
    F3      349.3       67.6
   ---        0.0      135.2
   A#3      466.3       67.6
   ---        0.0      135.2
    D3      293.7       67.6
   ---        0.0      135.2
    F3      349.3       67.6
   ---        0.0      135.2
   A#3      466.3       67.6
   ---        0.0      135.2
    D3      293.7       67.6
   ---        0.0      135.2
    F3      349.3       67.6
   ---        0.0      135.2
   A#3      466.3       67.6
   ---        0.0      135.2
    D3      293.7       67.6
   ---        0.0      135.2
    F3      349.3       67.6
   ---        0.0      135.2
   A#3      466.3       67.6
   ---        0.0      135.2
    A3      440.1       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
    A3      440.1       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#4      622.4       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#4      622.4       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
    B3      494.1       67.6
   ---        0.0      135.2
    D4      587.5       67.6
   ---        0.0      135.2
    B3      494.1       67.6
   ---        0.0      135.2
    B3      494.1       67.6
   ---        0.0      135.2
    D4      587.5       67.6
   ---        0.0      135.2
    B3      494.1       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#4      622.4       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#4      622.4       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#4      622.4       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
    F3      349.3       67.6
   ---        0.0      135.2
   G#3      415.5       67.6
   ---        0.0      135.2
   C#4      554.5       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
   D#4      622.4       67.6
   ---        0.0      135.2
    C4      523.3       67.6
   ---        0.0      135.2
    C4      523.3       67.6
