  Note    Freq Hz     Dur ms
------------------------------
    C4      523.3      384.5
   ---        0.0       21.1
   D#4      622.4      181.7
   ---        0.0       21.1
    G4      784.5     1398.4
   ---        0.0       21.1
    F4      698.6      181.7
   ---        0.0       21.1
   D#4      622.4      181.7
   ---        0.0       21.1
    F4      698.6      384.5
   ---        0.0       21.1
    D4      587.5      181.7
   ---        0.0       21.1
   A#4      932.9     1195.6
   ---        0.0       21.1
    D5     1175.5      181.7
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
   A#4      932.9      181.7
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
    A4      880.6      181.7
   ---        0.0       21.1
    F4      698.6      181.7
   ---        0.0       21.1
    G4      784.5     1195.6
   ---        0.0       21.1
   G#4      830.9      384.5
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
   D#5     1245.5     1195.6
   ---        0.0       21.1
    F5     1397.2      181.7
   ---        0.0       21.1
   D#5     1245.5      181.7
   ---        0.0       21.1
   C#5     1108.9      181.7
   ---        0.0       21.1
   D#5     1245.5      384.5
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
   G#4      830.9     1195.6
   ---        0.0       21.1
    F5     1397.2      181.7
   ---        0.0       21.1
   D#5     1245.5      181.7
   ---        0.0       21.1
   C#5     1108.9      181.7
   ---        0.0       21.1
   D#5     1245.5      181.7
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
   G#4      830.9      181.7
   ---        0.0       21.1
    F5     1397.2      181.7
   ---        0.0       21.1
   D#5     1245.5      181.7
   ---        0.0       21.1
   C#5     1108.9      181.7
   ---        0.0       21.1
   D#5     1245.5      181.7
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
   G#4      830.9      181.7
   ---        0.0       21.1
    G4      784.5     1195.6
   ---        0.0       21.1
    D5     1175.5      181.7
   ---        0.0       21.1
    B4      988.6      181.7
   ---        0.0       21.1
    G4      784.5     1702.6
   ---        0.0       21.1
   D#4      622.4       80.3
   ---        0.0       21.1
    G4      784.5      485.9
   ---        0.0       21.1
   D#4      622.4       80.3
   ---        0.0       21.1
    G4      784.5      181.7
   ---        0.0       21.1
    C4      523.3      181.7
   ---        0.0       21.1
    F4      698.6      181.7
   ---        0.0       21.1
   G#4      830.9      181.7
   ---        0.0       21.1
    G4      784.5      283.1
   ---        0.0       21.1
   D#4      622.4       80.3
   ---        0.0       21.1
    G4      784.5      485.9
   ---        0.0       21.1
   D#4      622.4       80.3
   ---        0.0       21.1
    G4      784.5      181.7
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
    F5     1397.2      181.7
   ---        0.0       21.1
   G#5     1661.8      181.7
   ---        0.0     2454.6
    D4      587.5     7279.4
   ---        0.0       21.1
