  Note    Freq Hz     Dur ms
------------------------------
    C4      523.3      384.5
   ---        0.0       21.1
   D#4      622.4      181.7
   ---        0.0       21.1
    G4      784.5      405.6
   D#3      311.2        4.2
    C2      130.8       33.8
   D#3      311.2       29.6
    G4      784.5       33.8
   D#3      311.2        4.2
    C2      130.8       33.8
   D#3      311.2       29.6
    G4      784.5       33.8
   D#3      311.2        4.2
    C2      130.8       33.8
   D#3      311.2       29.6
    G4      784.5      722.4
   ---        0.0       21.1
    F4      698.6      181.7
   ---        0.0       21.1
   D#4      622.4      181.7
   ---        0.0       21.1
    F4      698.6      384.5
   ---        0.0       21.1
    D4      587.5      181.7
   ---        0.0       21.1
   A#4      932.9      405.6
    D3      293.7        4.2
   A#1      116.5       33.8
    D3      293.7       29.6
   A#4      932.9       33.8
    D3      293.7        4.2
   A#1      116.5       33.8
    D3      293.7       29.6
   A#4      932.9       33.8
    D3      293.7        4.2
   A#1      116.5       33.8
    D3      293.7       29.6
   A#4      932.9      519.7
   ---        0.0       21.1
    D5     1175.5      181.7
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
    F3      349.3        4.2
   A#1      116.5       33.8
    F3      349.3       29.6
   A#4      932.9       33.8
    F3      349.3        4.2
   A#1      116.5       33.8
    F3      349.3       29.6
   A#4      932.9       12.7
   ---        0.0       21.1
    F3      349.3        4.2
    A1      110.0       33.8
    F3      349.3       29.6
    C5     1046.7      114.1
   ---        0.0       21.1
    A4      880.6      181.7
   ---        0.0       21.1
    F3      349.3        4.2
    A1      110.0       33.8
    F3      349.3       29.6
    F4      698.6       33.8
    F3      349.3        4.2
    A1      110.0       33.8
    F3      349.3       29.6
    F4      698.6       12.7
   ---        0.0       21.1
    D3      293.7        4.2
    G1       98.0       33.8
    D3      293.7       29.6
    G4      784.5      338.0
    G3      392.1        4.2
    G1       98.0       33.8
    G3      392.1       29.6
    G4      784.5       33.8
    G3      392.1        4.2
    G1       98.0       33.8
    G3      392.1       29.6
    G4      784.5       33.8
    D3      293.7        4.2
    G1       98.0       33.8
    D3      293.7       29.6
    G4      784.5      519.7
   ---        0.0       21.1
   G#4      830.9      384.5
   ---        0.0       21.1
    C5     1046.7      181.7
   ---        0.0       21.1
   D#5     1245.5      405.6
    C3      261.7        4.2
   G#1      103.8       33.8
    C3      261.7       29.6
   D#5     1245.5       33.8
    C3      261.7        4.2
   G#1      103.8       33.8
    C3      261.7       29.6
   D#5     1245.5       33.8
    C3      261.7        4.2
   G#1      103.8       33.8
    C3      261.7       29.6
   D#5     1245.5      519.7
   ---        0.0       21.1
    F5     1397.2      181.7
   ---        0.0       21.1
   D#5     1245.5      181.7
   ---        0.0       21.1
    F3      349.3        4.2
   C#2      138.6       33.8
    F3      349.3       29.6
   C#5     1108.9       33.8
    F3      349.3        4.2
